id,cluster_id,suggested_filename,suggested_domain,title,content,generation_method,gap_count,representative_queries,status,reviewed_by,reviewed_at,rejection_reason,ingested_at,ingested_sop_path,created_at,updated_at
11,1004,runbook-storage-11.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,14,"[""storage query 0"",""storage query 1"",""storage query 2""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
12,454,runbook-security-12.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,25,"[""security query 0"",""security query 1""]",rejected,rsingh,2026-06-15 02:26:51,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
13,885,runbook-security-13.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,3,"[""security query 0"",""security query 1"",""security query 2"",""security query 3""]",draft,,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
14,618,runbook-storage-14.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,5,"[""storage query 0"",""storage query 1"",""storage query 2""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
15,635,runbook-cpu-15.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,16,"[""cpu query 0"",""cpu query 1"",""cpu query 2"",""cpu query 3""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
16,634,runbook-node-16.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,18,"[""node query 0"",""node query 1"",""node query 2""]",approved,mpatel,2026-06-11 20:39:34,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
17,525,runbook-network-17.md,network,Auto-draft: remediating network incidents,"# Network remediation

## Symptoms
- elevated network signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,6,"[""network query 0"",""network query 1"",""network query 2"",""network query 3""]",approved,rsingh,2026-06-10 06:56:46,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
18,268,runbook-memory-18.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,24,"[""memory query 0"",""memory query 1"",""memory query 2"",""memory query 3""]",rejected,,2026-06-06 07:47:42,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
19,746,runbook-node-19.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,14,"[""node query 0"",""node query 1"",""node query 2""]",approved,rsingh,2026-06-16 13:44:47,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
20,33,runbook-storage-20.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,24,"[""storage query 0"",""storage query 1"",""storage query 2""]",approved,mpatel,2026-06-18 07:18:43,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
21,612,runbook-node-21.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,27,"[""node query 0""]",approved,,2026-06-18 03:10:38,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
22,354,runbook-network-22.md,network,Auto-draft: remediating network incidents,"# Network remediation

## Symptoms
- elevated network signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,9,"[""network query 0"",""network query 1""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
23,841,runbook-cpu-23.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,14,"[""cpu query 0"",""cpu query 1""]",ingested,,2026-06-11 18:53:39,,2026-06-04 00:13:50,sops/cpu/runbook-cpu-23.md,2026-05-24 12:00:00,2026-06-23 12:00:00
24,304,runbook-security-24.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,6,"[""security query 0"",""security query 1""]",rejected,mpatel,2026-06-08 11:11:52,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
25,828,runbook-node-25.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,28,"[""node query 0""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
26,958,runbook-memory-26.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,19,"[""memory query 0"",""memory query 1"",""memory query 2"",""memory query 3""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
27,21,runbook-cpu-27.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,7,"[""cpu query 0""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
28,287,runbook-memory-28.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,20,"[""memory query 0""]",rejected,rsingh,2026-05-30 01:55:04,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
29,666,runbook-cpu-29.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,7,"[""cpu query 0""]",approved,,2026-06-16 16:54:23,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
30,522,runbook-storage-30.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,24,"[""storage query 0"",""storage query 1"",""storage query 2"",""storage query 3""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
31,957,runbook-memory-31.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,9,"[""memory query 0"",""memory query 1"",""memory query 2""]",ingested,,2026-06-10 15:36:33,,2026-06-14 04:02:06,sops/memory/runbook-memory-31.md,2026-05-24 12:00:00,2026-06-23 12:00:00
32,343,runbook-memory-32.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,30,"[""memory query 0"",""memory query 1"",""memory query 2"",""memory query 3""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
33,467,runbook-cpu-33.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,22,"[""cpu query 0"",""cpu query 1"",""cpu query 2"",""cpu query 3""]",draft,,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
34,740,runbook-memory-34.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,27,"[""memory query 0"",""memory query 1"",""memory query 2""]",ingested,rsingh,2026-05-30 06:34:40,,2026-05-31 17:03:43,sops/memory/runbook-memory-34.md,2026-05-24 12:00:00,2026-06-23 12:00:00
35,387,runbook-memory-35.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,8,"[""memory query 0""]",approved,rsingh,2026-05-26 07:55:31,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
36,97,runbook-security-36.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,4,"[""security query 0"",""security query 1"",""security query 2"",""security query 3""]",approved,,2026-06-01 15:11:33,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
37,402,runbook-node-37.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,24,"[""node query 0""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
38,69,runbook-storage-38.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,23,"[""storage query 0"",""storage query 1"",""storage query 2""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
39,4,runbook-storage-39.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,6,"[""storage query 0"",""storage query 1"",""storage query 2""]",ingested,mpatel,2026-06-12 12:42:46,,2026-06-06 03:06:18,sops/storage/runbook-storage-39.md,2026-05-24 12:00:00,2026-06-23 12:00:00
40,738,runbook-storage-40.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,26,"[""storage query 0"",""storage query 1"",""storage query 2"",""storage query 3""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
41,40,runbook-memory-41.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,12,"[""memory query 0""]",rejected,,2026-06-02 17:29:23,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
42,840,runbook-network-42.md,network,Auto-draft: remediating network incidents,"# Network remediation

## Symptoms
- elevated network signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,13,"[""network query 0"",""network query 1"",""network query 2"",""network query 3""]",approved,,2026-06-07 22:27:58,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
43,115,runbook-security-43.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,14,"[""security query 0""]",rejected,rsingh,2026-06-22 16:53:00,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
44,445,runbook-storage-44.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,6,"[""storage query 0"",""storage query 1"",""storage query 2"",""storage query 3""]",approved,mpatel,2026-05-29 13:37:19,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
45,523,runbook-security-45.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,15,"[""security query 0"",""security query 1""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
46,302,runbook-memory-46.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,4,"[""memory query 0"",""memory query 1"",""memory query 2"",""memory query 3""]",approved,rsingh,2026-05-30 04:12:02,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
47,726,runbook-security-47.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,11,"[""security query 0"",""security query 1""]",draft,,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
48,963,runbook-cpu-48.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,20,"[""cpu query 0"",""cpu query 1"",""cpu query 2""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
49,517,runbook-storage-49.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,3,"[""storage query 0"",""storage query 1"",""storage query 2""]",rejected,,2026-06-02 18:38:24,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
50,891,runbook-memory-50.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,29,"[""memory query 0""]",approved,,2026-06-01 10:46:19,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
51,165,runbook-node-51.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,18,"[""node query 0"",""node query 1"",""node query 2""]",draft,,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
52,550,runbook-network-52.md,network,Auto-draft: remediating network incidents,"# Network remediation

## Symptoms
- elevated network signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,2,"[""network query 0"",""network query 1""]",approved,rsingh,2026-05-27 10:25:24,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
53,614,runbook-security-53.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,23,"[""security query 0"",""security query 1"",""security query 2"",""security query 3""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
54,879,runbook-node-54.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,12,"[""node query 0"",""node query 1""]",approved,mpatel,2026-06-10 06:39:43,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
55,429,runbook-node-55.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,6,"[""node query 0"",""node query 1""]",approved,,2026-06-22 05:00:48,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
56,906,runbook-security-56.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,9,"[""security query 0"",""security query 1"",""security query 2"",""security query 3""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
57,270,runbook-cpu-57.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,18,"[""cpu query 0"",""cpu query 1"",""cpu query 2"",""cpu query 3""]",rejected,,2026-06-14 15:53:22,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
58,916,runbook-node-58.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,29,"[""node query 0"",""node query 1""]",rejected,,2026-06-12 22:03:53,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
59,908,runbook-storage-59.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,5,"[""storage query 0""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
60,763,runbook-memory-60.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,5,"[""memory query 0"",""memory query 1""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
61,724,runbook-network-61.md,network,Auto-draft: remediating network incidents,"# Network remediation

## Symptoms
- elevated network signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,3,"[""network query 0"",""network query 1"",""network query 2""]",rejected,rsingh,2026-06-22 17:35:48,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
62,399,runbook-security-62.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,14,"[""security query 0"",""security query 1"",""security query 2""]",rejected,rsingh,2026-06-03 02:22:31,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
63,924,runbook-cpu-63.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,17,"[""cpu query 0"",""cpu query 1""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
64,834,runbook-cpu-64.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,13,"[""cpu query 0"",""cpu query 1"",""cpu query 2""]",ingested,mpatel,2026-06-13 21:03:30,,2026-05-31 20:37:04,sops/cpu/runbook-cpu-64.md,2026-05-24 12:00:00,2026-06-23 12:00:00
65,434,runbook-node-65.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,13,"[""node query 0"",""node query 1"",""node query 2""]",ingested,mpatel,2026-06-05 05:42:42,,2026-06-14 09:54:23,sops/node/runbook-node-65.md,2026-05-24 12:00:00,2026-06-23 12:00:00
66,18,runbook-cpu-66.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,26,"[""cpu query 0"",""cpu query 1"",""cpu query 2"",""cpu query 3""]",ingested,,2026-06-02 13:49:31,,2026-06-02 16:12:51,sops/cpu/runbook-cpu-66.md,2026-05-24 12:00:00,2026-06-23 12:00:00
67,505,runbook-memory-67.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,29,"[""memory query 0"",""memory query 1"",""memory query 2"",""memory query 3""]",draft,,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
68,986,runbook-memory-68.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,5,"[""memory query 0"",""memory query 1""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
69,838,runbook-storage-69.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,17,"[""storage query 0"",""storage query 1""]",rejected,mpatel,2026-05-30 03:05:44,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
70,158,runbook-security-70.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,22,"[""security query 0"",""security query 1""]",draft,,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
71,22,runbook-node-71.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,24,"[""node query 0""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
72,639,runbook-node-72.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,14,"[""node query 0"",""node query 1"",""node query 2"",""node query 3""]",ingested,mpatel,2026-06-08 09:14:08,,2026-06-02 10:22:18,sops/node/runbook-node-72.md,2026-05-24 12:00:00,2026-06-23 12:00:00
73,880,runbook-storage-73.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,16,"[""storage query 0"",""storage query 1"",""storage query 2""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
74,27,runbook-cpu-74.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,19,"[""cpu query 0"",""cpu query 1"",""cpu query 2""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
75,61,runbook-memory-75.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,22,"[""memory query 0"",""memory query 1""]",approved,mpatel,2026-06-15 20:07:01,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
76,512,runbook-node-76.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,21,"[""node query 0"",""node query 1"",""node query 2""]",ingested,mpatel,2026-06-16 13:54:13,,2026-06-12 07:52:03,sops/node/runbook-node-76.md,2026-05-24 12:00:00,2026-06-23 12:00:00
77,249,runbook-security-77.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,20,"[""security query 0"",""security query 1""]",approved,,2026-06-13 18:21:23,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
78,25,runbook-cpu-78.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,2,"[""cpu query 0"",""cpu query 1"",""cpu query 2"",""cpu query 3""]",rejected,,2026-06-04 19:43:51,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
79,207,runbook-node-79.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,28,"[""node query 0"",""node query 1"",""node query 2"",""node query 3""]",draft,rsingh,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
80,225,runbook-node-80.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,27,"[""node query 0"",""node query 1"",""node query 2"",""node query 3""]",ingested,,2026-06-06 19:48:23,,2026-06-15 14:35:13,sops/node/runbook-node-80.md,2026-05-24 12:00:00,2026-06-23 12:00:00
81,623,runbook-cpu-81.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,17,"[""cpu query 0""]",ingested,,2026-06-10 02:57:54,,2026-06-17 23:45:47,sops/cpu/runbook-cpu-81.md,2026-05-24 12:00:00,2026-06-23 12:00:00
82,945,runbook-memory-82.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,20,"[""memory query 0""]",ingested,rsingh,2026-05-26 02:34:46,,2026-06-19 05:11:31,sops/memory/runbook-memory-82.md,2026-05-24 12:00:00,2026-06-23 12:00:00
83,71,runbook-storage-83.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,12,"[""storage query 0"",""storage query 1"",""storage query 2"",""storage query 3""]",rejected,mpatel,2026-06-22 18:40:46,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
84,193,runbook-node-84.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",llm,7,"[""node query 0""]",rejected,,2026-05-25 02:25:56,too generic,,,2026-05-24 12:00:00,2026-06-23 12:00:00
