id,query_text,best_match_sop,best_similarity,source,cluster_name,namespace,pod_name,gap_category,gap_cluster_id,reviewed,draft_sop_created,detected_at
21,why is payments-api restarting in payments?,sops/node/runbook-15.md,0.3289,chat,prod-use2-eks,payments,payments-api-7fa4649-debd8,network,286,false,false,2026-06-13 17:46:28
22,why is inventory-svc throttled in inventory?,sops/security/runbook-13.md,0.4459,chat,prod-use2-eks,inventory,inventory-svc-bfded25-1e6d2,cpu,212,true,false,2026-06-18 13:59:45
23,why is checkout-web restarting in checkout?,sops/node/runbook-38.md,0.4501,prediction,prod-usw2-eks,checkout,checkout-web-2e5d994-d724e,storage,323,true,false,2026-05-28 21:35:11
24,why is payments-api throttled in payments?,sops/node/runbook-05.md,0.2771,chat,prod-use2-eks,payments,payments-api-1ce3577-591ac,memory,830,false,false,2026-06-02 16:29:56
25,why is orders-api restarting in orders?,sops/storage/runbook-28.md,0.3018,prediction,dr-use1-eks,orders,orders-api-8330e48-f22f4,network,364,true,true,2026-06-08 07:12:01
26,why is checkout-web restarting in checkout?,sops/network/runbook-04.md,0.4108,alert,prod-usw2-eks,checkout,checkout-web-c2b3638-fa6d0,network,760,false,false,2026-06-09 18:27:36
27,why is recommendation slow in search?,sops/memory/runbook-09.md,0.309,chat,prod-usw2-eks,search,recommendation-87e3198-026ea,memory,857,false,false,2026-05-30 13:46:15
28,why is checkout-web slow in checkout?,sops/node/runbook-12.md,0.3702,chat,dr-use1-eks,checkout,checkout-web-4263246-52f3a,storage,95,false,false,2026-05-30 01:07:36
29,why is search-api throttled in search?,sops/network/runbook-04.md,0.4392,alert,prod-use2-eks,search,search-api-1271443-2f040,storage,478,true,true,2026-05-28 13:45:33
30,why is auth-gateway restarting in identity?,sops/security/runbook-03.md,0.5449,chat,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,memory,156,false,false,2026-05-31 16:32:03
31,why is coredns OOMKilled in kube-system?,sops/security/runbook-30.md,0.5362,alert,prod-use2-eks,kube-system,coredns-e513a45-fb7bf,network,831,true,false,2026-05-31 07:19:33
32,why is cart-svc OOMKilled in checkout?,sops/memory/runbook-19.md,0.3658,alert,prod-usw2-eks,checkout,cart-svc-0a94879-c1bba,memory,150,false,true,2026-06-11 15:50:27
33,why is inventory-svc throttled in inventory?,sops/node/runbook-08.md,0.3357,auto,prod-usw2-eks,inventory,inventory-svc-bf8f159-02345,memory,234,true,false,2026-06-04 17:28:04
34,why is search-api OOMKilled in search?,sops/availability/runbook-14.md,0.3363,prediction,prod-usw2-eks,search,search-api-8352074-5b766,node,866,true,true,2026-06-21 13:12:17
35,why is cart-svc throttled in checkout?,sops/security/runbook-30.md,0.512,prediction,prod-use2-eks,checkout,cart-svc-527eb80-045c0,node,309,false,false,2026-06-17 04:15:58
36,why is image-resizer throttled in platform?,sops/security/runbook-37.md,0.5194,prediction,prod-use2-eks,platform,image-resizer-9994630-7c707,cpu,908,false,false,2026-06-13 04:53:26
37,why is checkout-web OOMKilled in checkout?,sops/storage/runbook-02.md,0.5001,chat,prod-use2-eks,checkout,checkout-web-0101b48-2b2af,cpu,800,true,false,2026-06-12 22:23:44
38,why is session-store throttled in identity?,sops/availability/runbook-20.md,0.4219,alert,prod-use2-eks,identity,session-store-1ac5266-1ca26,memory,555,false,false,2026-06-22 19:05:13
39,why is payments-worker restarting in payments?,sops/availability/runbook-33.md,0.2267,prediction,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,network,592,false,true,2026-06-21 00:07:15
40,why is payments-worker restarting in payments?,sops/network/runbook-25.md,0.4237,prediction,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,node,149,false,false,2026-06-05 14:02:08
41,why is notifications restarting in notifications?,sops/security/runbook-22.md,0.233,prediction,dr-use1-eks,notifications,notifications-b036879-82982,storage,579,false,false,2026-06-17 12:41:18
42,why is orders-api slow in orders?,sops/node/runbook-08.md,0.3911,alert,prod-use2-eks,orders,orders-api-7f89525-97cdd,node,549,true,false,2026-06-10 03:34:22
43,why is payments-api OOMKilled in payments?,sops/security/runbook-23.md,0.4239,alert,prod-use2-eks,payments,payments-api-7fa4649-debd8,storage,147,false,false,2026-05-28 12:52:02
44,why is cart-svc restarting in checkout?,sops/network/runbook-04.md,0.2154,alert,prod-use2-eks,checkout,cart-svc-527eb80-045c0,cpu,137,false,false,2026-05-30 14:11:32
45,why is payments-api OOMKilled in payments?,sops/security/runbook-22.md,0.4207,chat,staging-use2-eks,payments,payments-api-dde4d16-a3d09,cpu,369,true,false,2026-06-21 18:10:51
46,why is recommendation slow in search?,sops/security/runbook-37.md,0.3352,alert,prod-usw2-eks,search,recommendation-87e3198-026ea,storage,995,true,false,2026-06-12 13:52:32
47,why is orders-api OOMKilled in orders?,sops/security/runbook-30.md,0.4881,auto,prod-use2-eks,orders,orders-api-7f89525-97cdd,network,278,false,false,2026-05-31 03:09:31
48,why is ledger-svc throttled in ledger?,sops/node/runbook-12.md,0.4271,auto,prod-usw2-eks,ledger,ledger-svc-2014124-29b88,memory,216,false,false,2026-06-08 06:08:56
49,why is inventory-svc OOMKilled in inventory?,sops/memory/runbook-19.md,0.298,prediction,staging-use2-eks,inventory,inventory-svc-1d6f570-1b50d,storage,1058,false,false,2026-06-02 03:15:51
50,why is ledger-svc OOMKilled in ledger?,sops/availability/runbook-16.md,0.2631,auto,prod-use2-eks,ledger,ledger-svc-204e643-7d23b,storage,1070,true,true,2026-06-15 17:12:49
51,why is payments-api OOMKilled in payments?,sops/cpu/runbook-31.md,0.4806,prediction,staging-use2-eks,payments,payments-api-dde4d16-a3d09,cpu,731,false,false,2026-06-03 20:47:38
52,why is config-svc throttled in platform?,sops/memory/runbook-40.md,0.2861,prediction,prod-use2-eks,platform,config-svc-027a395-39a4d,node,928,true,false,2026-06-23 10:40:04
53,why is image-resizer throttled in platform?,sops/storage/runbook-07.md,0.2806,prediction,prod-use2-eks,platform,image-resizer-9994630-7c707,memory,703,false,false,2026-06-14 18:27:36
54,why is cart-svc slow in checkout?,sops/availability/runbook-20.md,0.2496,alert,prod-usw2-eks,checkout,cart-svc-882ca58-64a75,memory,466,false,true,2026-05-24 18:25:04
55,why is search-api throttled in search?,sops/memory/runbook-21.md,0.547,prediction,dr-use1-eks,search,search-api-d416b43-7cb20,node,1035,false,false,2026-06-23 11:15:47
56,why is auth-gateway throttled in identity?,sops/security/runbook-03.md,0.3391,chat,prod-use2-eks,identity,auth-gateway-bf1d422-2018d,cpu,291,false,false,2026-06-08 02:13:08
57,why is orders-api slow in orders?,sops/cpu/runbook-31.md,0.4341,alert,prod-usw2-eks,orders,orders-api-21c5d48-15186,memory,781,false,false,2026-06-05 09:03:53
58,why is orders-api slow in orders?,sops/memory/runbook-40.md,0.2554,chat,prod-use2-eks,orders,orders-api-7f89525-97cdd,storage,27,false,false,2026-05-31 09:48:55
59,why is auth-gateway throttled in identity?,sops/availability/runbook-06.md,0.4119,chat,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,storage,48,false,false,2026-05-29 21:52:59
60,why is recommendation restarting in search?,sops/availability/runbook-11.md,0.3562,alert,prod-usw2-eks,search,recommendation-1e52697-e4756,network,639,true,false,2026-05-31 02:39:07
61,why is auth-gateway OOMKilled in identity?,sops/security/runbook-22.md,0.451,chat,prod-usw2-eks,identity,auth-gateway-d4d3364-aac01,network,312,false,false,2026-06-14 17:20:41
62,why is inventory-svc OOMKilled in inventory?,sops/cpu/runbook-31.md,0.2134,prediction,dr-use1-eks,inventory,inventory-svc-4ccbe67-9cbde,memory,363,true,false,2026-06-22 10:34:16
63,why is ledger-svc slow in ledger?,sops/storage/runbook-28.md,0.3188,auto,prod-use2-eks,ledger,ledger-svc-1232e29-49ea1,storage,196,true,false,2026-06-06 20:25:56
64,why is config-svc restarting in platform?,sops/availability/runbook-06.md,0.2335,prediction,staging-use2-eks,platform,config-svc-929cd33-16be4,node,404,false,false,2026-06-07 08:59:42
65,why is search-api throttled in search?,sops/availability/runbook-11.md,0.493,chat,dr-use1-eks,search,search-api-d416b43-7cb20,cpu,648,true,true,2026-06-13 11:36:22
66,why is checkout-web restarting in checkout?,sops/storage/runbook-28.md,0.2369,chat,prod-use2-eks,checkout,checkout-web-47df111-4e24c,node,481,false,false,2026-06-02 02:55:59
67,why is orders-worker slow in orders?,sops/storage/runbook-28.md,0.2469,prediction,prod-use2-eks,orders,orders-worker-06e2683-7270e,network,428,true,true,2026-05-27 00:35:36
68,why is orders-api slow in orders?,sops/memory/runbook-26.md,0.343,prediction,prod-usw2-eks,orders,orders-api-402bb51-ad48f,node,1012,false,false,2026-06-19 18:22:54
69,why is notifications throttled in notifications?,sops/storage/runbook-02.md,0.4869,auto,prod-usw2-eks,notifications,notifications-abd2926-3451e,node,265,false,false,2026-06-21 12:49:47
70,why is recommendation throttled in search?,sops/availability/runbook-16.md,0.3351,auto,prod-use2-eks,search,recommendation-c460126-52814,storage,452,true,false,2026-06-12 11:54:42
71,why is search-api slow in search?,sops/memory/runbook-40.md,0.2544,chat,dr-use1-eks,search,search-api-be84964-d972c,network,689,false,false,2026-06-01 21:04:00
72,why is session-store throttled in identity?,sops/storage/runbook-07.md,0.3243,alert,prod-usw2-eks,identity,session-store-d825e25-14f9f,storage,396,false,false,2026-06-23 02:48:48
73,why is inventory-svc OOMKilled in inventory?,sops/network/runbook-25.md,0.374,chat,prod-usw2-eks,inventory,inventory-svc-4453f63-e15f3,network,1028,false,false,2026-06-20 01:02:21
74,why is notifications throttled in notifications?,sops/memory/runbook-19.md,0.4561,alert,prod-use2-eks,notifications,notifications-c882a21-88bb7,storage,685,true,false,2026-06-20 00:38:50
75,why is payments-worker throttled in payments?,sops/memory/runbook-35.md,0.4674,alert,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,network,222,true,false,2026-06-10 02:13:36
76,why is payments-api throttled in payments?,sops/node/runbook-34.md,0.4857,alert,prod-use2-eks,payments,payments-api-58c5e74-26d34,storage,739,false,false,2026-06-03 13:22:10
77,why is indexer OOMKilled in search?,sops/node/runbook-38.md,0.265,auto,prod-use2-eks,search,indexer-b07f520-eaf04,memory,54,false,false,2026-06-21 21:54:28
78,why is session-store throttled in identity?,sops/memory/runbook-18.md,0.3017,chat,prod-usw2-eks,identity,session-store-28ebc77-cf7c8,cpu,79,true,true,2026-06-04 05:54:20
79,why is payments-api slow in payments?,sops/availability/runbook-10.md,0.5343,auto,prod-use2-eks,payments,payments-api-7fa4649-debd8,network,465,false,false,2026-05-28 08:38:10
80,why is payments-api OOMKilled in payments?,sops/memory/runbook-18.md,0.3729,alert,prod-use2-eks,payments,payments-api-c9c2b74-00142,storage,569,false,false,2026-06-10 13:50:16
81,why is metrics-server slow in kube-system?,sops/node/runbook-36.md,0.2673,auto,prod-use2-eks,kube-system,metrics-server-e2e6924-29c37,storage,461,false,false,2026-06-07 15:38:58
82,why is ledger-svc OOMKilled in ledger?,sops/node/runbook-01.md,0.4243,auto,prod-use2-eks,ledger,ledger-svc-204e643-7d23b,storage,779,true,false,2026-06-18 07:52:36
83,why is search-api slow in search?,sops/network/runbook-17.md,0.2323,auto,prod-use2-eks,search,search-api-4350294-dbefb,node,255,true,false,2026-06-02 08:05:47
84,why is payments-api throttled in payments?,sops/memory/runbook-18.md,0.3495,chat,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,cpu,287,false,false,2026-05-31 05:19:31
85,why is search-api restarting in search?,sops/storage/runbook-32.md,0.2073,chat,prod-use2-eks,search,search-api-eff0684-a368a,cpu,560,false,false,2026-06-01 09:19:22
86,why is checkout-web restarting in checkout?,sops/availability/runbook-39.md,0.4648,chat,prod-usw2-eks,checkout,checkout-web-ec64e26-f37ce,network,934,false,false,2026-06-23 01:08:21
87,why is search-api restarting in search?,sops/security/runbook-30.md,0.2533,alert,staging-use2-eks,search,search-api-1605640-8abaf,node,130,true,true,2026-06-11 20:31:18
88,why is auth-gateway slow in identity?,sops/node/runbook-08.md,0.3962,alert,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,memory,266,false,false,2026-05-31 05:27:59
89,why is ledger-svc restarting in ledger?,sops/network/runbook-25.md,0.3133,chat,prod-usw2-eks,ledger,ledger-svc-842cd31-95bfa,network,197,false,false,2026-06-21 05:18:27
90,why is payments-worker throttled in payments?,sops/memory/runbook-26.md,0.4173,prediction,prod-usw2-eks,payments,payments-worker-bbc0947-0aa1a,cpu,1092,false,false,2026-06-07 17:08:22
91,why is recommendation restarting in search?,sops/node/runbook-24.md,0.4593,prediction,prod-use2-eks,search,recommendation-e5d5555-c6e9b,cpu,182,true,false,2026-05-24 15:22:57
92,why is auth-gateway OOMKilled in identity?,sops/storage/runbook-28.md,0.2132,chat,prod-usw2-eks,identity,auth-gateway-7d2aa28-56f78,storage,464,false,false,2026-05-28 01:59:23
93,why is notifications OOMKilled in notifications?,sops/memory/runbook-21.md,0.4544,auto,prod-usw2-eks,notifications,notifications-abd2926-3451e,memory,921,false,true,2026-05-27 06:39:58
94,why is notifications restarting in notifications?,sops/memory/runbook-26.md,0.5491,alert,prod-use2-eks,notifications,notifications-1938743-28dca,memory,994,false,false,2026-06-09 12:44:22
95,why is coredns OOMKilled in kube-system?,sops/availability/runbook-33.md,0.2805,auto,staging-use2-eks,kube-system,coredns-b16ea15-07544,memory,919,true,true,2026-05-26 03:01:32
96,why is auth-gateway throttled in identity?,sops/security/runbook-22.md,0.3327,alert,staging-use2-eks,identity,auth-gateway-c975434-e6ef9,cpu,425,true,false,2026-06-03 16:59:03
97,why is checkout-web throttled in checkout?,sops/availability/runbook-16.md,0.4002,alert,staging-use2-eks,checkout,checkout-web-aca9086-f5fe6,memory,1065,true,false,2026-05-26 07:39:13
98,why is recommendation slow in search?,sops/node/runbook-38.md,0.5337,auto,staging-use2-eks,search,recommendation-2071c72-c0b22,network,514,false,false,2026-06-14 21:19:53
99,why is search-api OOMKilled in search?,sops/storage/runbook-32.md,0.4491,auto,prod-use2-eks,search,search-api-1271443-2f040,network,997,false,false,2026-06-16 21:42:00
100,why is cart-svc restarting in checkout?,sops/availability/runbook-16.md,0.4402,alert,prod-use2-eks,checkout,cart-svc-51c2594-4d271,memory,188,false,false,2026-06-10 10:52:11
101,why is orders-worker OOMKilled in orders?,sops/cpu/runbook-31.md,0.5259,auto,prod-use2-eks,orders,orders-worker-9681c18-374c7,cpu,71,false,false,2026-06-18 05:47:39
102,why is ledger-svc throttled in ledger?,sops/memory/runbook-26.md,0.4657,alert,prod-usw2-eks,ledger,ledger-svc-2014124-29b88,node,921,false,false,2026-06-12 05:29:40
103,why is image-resizer throttled in platform?,sops/node/runbook-12.md,0.2847,alert,prod-usw2-eks,platform,image-resizer-9683178-b7560,network,903,true,false,2026-06-13 16:31:20
104,why is indexer OOMKilled in search?,sops/security/runbook-13.md,0.4726,auto,prod-usw2-eks,search,indexer-6c1eb29-ca471,network,1054,false,true,2026-06-10 08:55:32
105,why is checkout-web throttled in checkout?,sops/memory/runbook-09.md,0.5055,auto,prod-use2-eks,checkout,checkout-web-47df111-4e24c,network,846,true,false,2026-06-07 22:57:18
106,why is orders-worker restarting in orders?,sops/node/runbook-38.md,0.4196,chat,prod-usw2-eks,orders,orders-worker-b907131-2627d,network,832,false,false,2026-06-13 18:48:33
107,why is indexer throttled in search?,sops/memory/runbook-40.md,0.2418,alert,prod-use2-eks,search,indexer-b07f520-eaf04,node,17,false,true,2026-05-27 21:15:05
108,why is inventory-svc slow in inventory?,sops/node/runbook-34.md,0.3408,prediction,prod-use2-eks,inventory,inventory-svc-3e28589-98330,storage,372,false,false,2026-05-28 23:13:06
109,why is cart-svc throttled in checkout?,sops/network/runbook-25.md,0.4385,alert,prod-use2-eks,checkout,cart-svc-26a7d77-aafdc,node,224,false,true,2026-06-03 10:58:08
110,why is notifications restarting in notifications?,sops/memory/runbook-21.md,0.397,prediction,staging-use2-eks,notifications,notifications-26e9347-44fc8,node,849,false,false,2026-06-22 09:10:06
111,why is checkout-web throttled in checkout?,sops/memory/runbook-35.md,0.3223,prediction,staging-use2-eks,checkout,checkout-web-aca9086-f5fe6,node,388,true,true,2026-06-21 17:34:22
112,why is indexer restarting in search?,sops/availability/runbook-14.md,0.3068,chat,prod-use2-eks,search,indexer-b07f520-eaf04,cpu,469,true,false,2026-05-30 17:54:08
113,why is payments-api OOMKilled in payments?,sops/memory/runbook-09.md,0.2006,auto,prod-usw2-eks,payments,payments-api-b9a1287-dbbfe,node,332,false,true,2026-05-29 07:42:10
114,why is image-resizer OOMKilled in platform?,sops/memory/runbook-18.md,0.312,prediction,prod-usw2-eks,platform,image-resizer-6542c92-1100b,memory,569,true,false,2026-05-25 19:25:41
115,why is coredns throttled in kube-system?,sops/storage/runbook-32.md,0.541,chat,prod-use2-eks,kube-system,coredns-e513a45-fb7bf,network,612,false,true,2026-06-03 23:36:39
116,why is image-resizer restarting in platform?,sops/availability/runbook-16.md,0.3878,auto,prod-usw2-eks,platform,image-resizer-9683178-b7560,network,432,false,false,2026-06-22 19:03:59
117,why is cart-svc slow in checkout?,sops/node/runbook-24.md,0.2569,chat,prod-use2-eks,checkout,cart-svc-51c2594-4d271,memory,404,false,false,2026-06-07 21:46:44
118,why is ledger-svc OOMKilled in ledger?,sops/availability/runbook-20.md,0.4805,auto,prod-usw2-eks,ledger,ledger-svc-0744083-43011,memory,1071,false,false,2026-06-23 11:53:44
119,why is coredns restarting in kube-system?,sops/availability/runbook-39.md,0.416,chat,prod-usw2-eks,kube-system,coredns-4a8b365-1d9fc,network,785,false,false,2026-05-26 21:59:49
120,why is metrics-server throttled in kube-system?,sops/memory/runbook-18.md,0.248,auto,prod-use2-eks,kube-system,metrics-server-e2e6924-29c37,cpu,1057,true,false,2026-05-24 16:37:36
121,why is auth-gateway slow in identity?,sops/security/runbook-30.md,0.3801,alert,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,storage,481,false,false,2026-05-25 16:14:26
122,why is payments-worker restarting in payments?,sops/network/runbook-17.md,0.3775,alert,prod-use2-eks,payments,payments-worker-6e38c94-75bbf,cpu,900,false,false,2026-06-20 16:48:06
123,why is recommendation throttled in search?,sops/availability/runbook-10.md,0.231,prediction,staging-use2-eks,search,recommendation-2071c72-c0b22,memory,1011,false,true,2026-06-17 14:42:23
124,why is image-resizer slow in platform?,sops/availability/runbook-06.md,0.3436,chat,prod-usw2-eks,platform,image-resizer-6542c92-1100b,storage,46,false,false,2026-06-15 06:17:34
125,why is checkout-web OOMKilled in checkout?,sops/security/runbook-22.md,0.3314,prediction,prod-use2-eks,checkout,checkout-web-c2eb578-2d181,network,1041,false,false,2026-05-30 20:54:29
126,why is auth-gateway slow in identity?,sops/availability/runbook-06.md,0.2332,prediction,staging-use2-eks,identity,auth-gateway-41b4f33-14ef9,memory,710,false,false,2026-06-14 10:05:53
127,why is checkout-web slow in checkout?,sops/security/runbook-03.md,0.3192,alert,dr-use1-eks,checkout,checkout-web-6e9e217-a5c79,memory,464,false,false,2026-06-09 19:20:34
128,why is checkout-web restarting in checkout?,sops/security/runbook-22.md,0.3983,chat,dr-use1-eks,checkout,checkout-web-6e9e217-a5c79,cpu,112,false,false,2026-06-12 09:05:58
129,why is auth-gateway restarting in identity?,sops/security/runbook-03.md,0.5412,prediction,staging-use2-eks,identity,auth-gateway-41b4f33-14ef9,network,656,false,true,2026-06-03 21:26:37
130,why is recommendation slow in search?,sops/memory/runbook-09.md,0.2014,alert,prod-use2-eks,search,recommendation-e5d5555-c6e9b,network,277,false,false,2026-06-02 23:15:59
131,why is checkout-web restarting in checkout?,sops/node/runbook-38.md,0.3999,alert,dr-use1-eks,checkout,checkout-web-4263246-52f3a,cpu,579,false,false,2026-06-23 00:43:32
132,why is metrics-server OOMKilled in kube-system?,sops/node/runbook-12.md,0.3069,alert,prod-use2-eks,kube-system,metrics-server-e2e6924-29c37,storage,894,true,false,2026-06-12 08:51:55
133,why is auth-gateway slow in identity?,sops/availability/runbook-11.md,0.3653,auto,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,network,979,true,false,2026-06-12 09:36:51
134,why is inventory-svc OOMKilled in inventory?,sops/network/runbook-17.md,0.4753,prediction,prod-usw2-eks,inventory,inventory-svc-0d33458-c137f,network,695,false,true,2026-06-06 03:55:15
135,why is payments-worker restarting in payments?,sops/memory/runbook-19.md,0.2612,alert,prod-use2-eks,payments,payments-worker-7a57672-86691,storage,812,false,true,2026-06-16 07:19:47
136,why is notifications restarting in notifications?,sops/memory/runbook-09.md,0.3632,chat,prod-usw2-eks,notifications,notifications-b2aff41-e1772,node,538,false,false,2026-05-25 08:41:41
137,why is payments-api OOMKilled in payments?,sops/node/runbook-01.md,0.5433,prediction,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,storage,468,false,false,2026-05-30 16:40:34
138,why is session-store throttled in identity?,sops/network/runbook-04.md,0.2715,prediction,prod-use2-eks,identity,session-store-1ac5266-1ca26,node,1049,true,false,2026-06-03 06:29:31
139,why is image-resizer OOMKilled in platform?,sops/memory/runbook-26.md,0.2179,prediction,prod-usw2-eks,platform,image-resizer-9683178-b7560,cpu,636,true,false,2026-06-10 22:07:40
140,why is image-resizer throttled in platform?,sops/memory/runbook-35.md,0.2757,alert,prod-usw2-eks,platform,image-resizer-9683178-b7560,network,954,true,false,2026-05-26 02:55:29
141,why is recommendation restarting in search?,sops/node/runbook-29.md,0.2725,alert,prod-usw2-eks,search,recommendation-1e52697-e4756,storage,808,true,false,2026-06-22 07:51:13
142,why is ledger-svc restarting in ledger?,sops/security/runbook-37.md,0.2014,chat,prod-use2-eks,ledger,ledger-svc-204e643-7d23b,cpu,694,true,false,2026-06-20 19:58:30
143,why is notifications throttled in notifications?,sops/security/runbook-22.md,0.2976,alert,prod-usw2-eks,notifications,notifications-b2aff41-e1772,node,492,false,false,2026-06-17 00:59:01
144,why is recommendation slow in search?,sops/node/runbook-36.md,0.4059,alert,prod-use2-eks,search,recommendation-c460126-52814,storage,279,false,false,2026-06-11 11:49:50
145,why is indexer OOMKilled in search?,sops/node/runbook-36.md,0.2202,prediction,dr-use1-eks,search,indexer-6af7422-f66fc,cpu,124,false,true,2026-06-05 20:36:12
146,why is notifications OOMKilled in notifications?,sops/node/runbook-24.md,0.4001,alert,prod-usw2-eks,notifications,notifications-abd2926-3451e,memory,326,true,false,2026-06-09 19:30:50
147,why is ledger-svc restarting in ledger?,sops/storage/runbook-27.md,0.2234,alert,prod-use2-eks,ledger,ledger-svc-f4a6d64-16dde,cpu,535,false,false,2026-06-12 18:30:15
148,why is inventory-svc OOMKilled in inventory?,sops/memory/runbook-40.md,0.4219,prediction,prod-usw2-eks,inventory,inventory-svc-0d33458-c137f,cpu,226,false,true,2026-06-18 04:46:08
149,why is payments-api throttled in payments?,sops/node/runbook-34.md,0.3652,alert,prod-usw2-eks,payments,payments-api-423b015-b80bd,cpu,203,false,false,2026-06-09 06:16:21
150,why is image-resizer OOMKilled in platform?,sops/availability/runbook-39.md,0.4722,prediction,prod-use2-eks,platform,image-resizer-9994630-7c707,cpu,690,true,false,2026-05-29 13:51:07
151,why is image-resizer restarting in platform?,sops/memory/runbook-26.md,0.389,prediction,prod-use2-eks,platform,image-resizer-9994630-7c707,node,378,true,false,2026-06-06 07:44:02
152,why is auth-gateway OOMKilled in identity?,sops/storage/runbook-02.md,0.312,alert,staging-use2-eks,identity,auth-gateway-c975434-e6ef9,memory,155,false,false,2026-06-11 00:43:37
153,why is ledger-svc OOMKilled in ledger?,sops/availability/runbook-06.md,0.5215,alert,prod-usw2-eks,ledger,ledger-svc-0744083-43011,node,1022,false,true,2026-06-11 12:08:11
154,why is payments-api slow in payments?,sops/storage/runbook-32.md,0.5254,prediction,prod-usw2-eks,payments,payments-api-423b015-b80bd,cpu,871,true,false,2026-06-01 00:42:52
155,why is payments-worker slow in payments?,sops/memory/runbook-18.md,0.2411,prediction,prod-use2-eks,payments,payments-worker-6e38c94-75bbf,memory,810,false,true,2026-06-10 21:45:16
156,why is search-api slow in search?,sops/memory/runbook-21.md,0.2522,prediction,prod-use2-eks,search,search-api-eff0684-a368a,storage,602,false,false,2026-05-25 08:10:02
