id,knowledge_type,title,content,source,confidence,applicable_environments,tags,metadata,created_at,updated_at
11,best_practice,Storage best practice #11,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.8115,"[""prod"",""staging""]","[""prod"",""sre"",""leak""]","{""domain"":""storage"",""verified"":true}",2026-05-01 19:05:32,2026-06-23 12:00:00
12,remediation,Node remediation #12,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.7603,"[""prod"",""dr"",""staging""]","[""sre"",""k8s"",""scaling""]","{""domain"":""node"",""verified"":true}",2026-05-16 06:33:53,2026-06-23 12:00:00
13,remediation,Cpu remediation #13,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.6325,"[""dr""]","[""sre"",""k8s"",""leak""]","{""domain"":""cpu"",""verified"":true}",2026-06-08 12:27:36,2026-06-23 12:00:00
14,root_cause,Network root cause #14,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6375,"[""prod"",""staging""]","[""network"",""scaling"",""sre""]","{""domain"":""network"",""verified"":true}",2026-05-25 05:18:53,2026-06-23 12:00:00
15,postmortem,Network postmortem #15,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.8338,"[""staging"",""prod""]","[""leak"",""k8s"",""prod""]","{""domain"":""network"",""verified"":true}",2026-04-18 03:01:29,2026-06-23 12:00:00
16,postmortem,Availability postmortem #16,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6034,"[""staging"",""prod"",""dr""]","[""sre"",""availability"",""scaling""]","{""domain"":""availability"",""verified"":true}",2026-05-11 19:17:42,2026-06-23 12:00:00
17,postmortem,Node postmortem #17,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.8303,"[""dr""]","[""scaling"",""sre"",""node""]","{""domain"":""node"",""verified"":true}",2026-05-25 10:34:48,2026-06-23 12:00:00
18,incident_pattern,Memory incident pattern #18,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.9701,"[""prod"",""dr""]","[""k8s"",""scaling"",""memory""]","{""domain"":""memory"",""verified"":false}",2026-03-26 03:40:14,2026-06-23 12:00:00
19,best_practice,Storage best practice #19,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.6385,"[""prod"",""dr""]","[""scaling"",""k8s"",""leak""]","{""domain"":""storage"",""verified"":true}",2026-05-13 09:45:33,2026-06-23 12:00:00
20,postmortem,Availability postmortem #20,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.9539,"[""dr"",""prod"",""staging""]","[""availability"",""k8s"",""sre""]","{""domain"":""availability"",""verified"":true}",2026-04-18 01:12:48,2026-06-23 12:00:00
21,root_cause,Memory root cause #21,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.9324,"[""prod""]","[""leak"",""memory"",""k8s""]","{""domain"":""memory"",""verified"":true}",2026-04-30 12:53:08,2026-06-23 12:00:00
22,postmortem,Storage postmortem #22,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.7312,"[""dr"",""staging"",""prod""]","[""storage"",""prod"",""scaling""]","{""domain"":""storage"",""verified"":false}",2026-05-24 13:45:46,2026-06-23 12:00:00
23,remediation,Memory remediation #23,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6937,"[""staging"",""dr"",""prod""]","[""memory"",""leak"",""scaling""]","{""domain"":""memory"",""verified"":false}",2026-05-03 19:04:00,2026-06-23 12:00:00
24,best_practice,Network best practice #24,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.6685,"[""staging""]","[""prod"",""sre"",""k8s""]","{""domain"":""network"",""verified"":true}",2026-05-18 10:57:46,2026-06-23 12:00:00
25,postmortem,Memory postmortem #25,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.6283,"[""dr""]","[""leak"",""sre"",""scaling""]","{""domain"":""memory"",""verified"":false}",2026-05-15 18:47:58,2026-06-23 12:00:00
26,postmortem,Node postmortem #26,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.7999,"[""staging"",""prod"",""dr""]","[""prod"",""leak"",""scaling""]","{""domain"":""node"",""verified"":true}",2026-06-17 08:58:30,2026-06-23 12:00:00
27,root_cause,Availability root cause #27,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.9675,"[""dr""]","[""prod"",""leak"",""availability""]","{""domain"":""availability"",""verified"":false}",2026-06-20 04:43:04,2026-06-23 12:00:00
28,remediation,Cpu remediation #28,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.7153,"[""prod"",""staging""]","[""sre"",""leak"",""k8s""]","{""domain"":""cpu"",""verified"":true}",2026-04-09 02:29:13,2026-06-23 12:00:00
29,postmortem,Cpu postmortem #29,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.8801,"[""prod"",""dr""]","[""sre"",""leak"",""prod""]","{""domain"":""cpu"",""verified"":false}",2026-04-17 13:08:01,2026-06-23 12:00:00
30,best_practice,Cpu best practice #30,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.7821,"[""prod""]","[""prod"",""sre"",""cpu""]","{""domain"":""cpu"",""verified"":true}",2026-05-11 11:17:16,2026-06-23 12:00:00
31,postmortem,Availability postmortem #31,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6814,"[""staging"",""dr"",""prod""]","[""scaling"",""leak"",""k8s""]","{""domain"":""availability"",""verified"":true}",2026-04-26 18:52:52,2026-06-23 12:00:00
32,postmortem,Cpu postmortem #32,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.63,"[""prod""]","[""cpu"",""prod"",""k8s""]","{""domain"":""cpu"",""verified"":false}",2026-04-22 20:36:56,2026-06-23 12:00:00
33,remediation,Storage remediation #33,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.7762,"[""staging""]","[""leak"",""prod"",""storage""]","{""domain"":""storage"",""verified"":true}",2026-03-30 14:34:47,2026-06-23 12:00:00
34,remediation,Node remediation #34,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.9147,"[""staging"",""prod"",""dr""]","[""leak"",""prod"",""k8s""]","{""domain"":""node"",""verified"":true}",2026-05-22 17:01:28,2026-06-23 12:00:00
35,root_cause,Network root cause #35,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.7056,"[""prod"",""staging""]","[""leak"",""network"",""k8s""]","{""domain"":""network"",""verified"":true}",2026-03-25 22:05:14,2026-06-23 12:00:00
36,best_practice,Network best practice #36,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6047,"[""dr"",""prod""]","[""scaling"",""sre"",""k8s""]","{""domain"":""network"",""verified"":false}",2026-05-18 02:25:06,2026-06-23 12:00:00
37,postmortem,Storage postmortem #37,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.8922,"[""prod""]","[""k8s"",""sre"",""leak""]","{""domain"":""storage"",""verified"":true}",2026-04-06 22:38:04,2026-06-23 12:00:00
38,incident_pattern,Memory incident pattern #38,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6371,"[""staging""]","[""prod"",""leak"",""scaling""]","{""domain"":""memory"",""verified"":true}",2026-06-02 00:58:00,2026-06-23 12:00:00
39,postmortem,Memory postmortem #39,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.7899,"[""staging"",""dr""]","[""memory"",""scaling"",""leak""]","{""domain"":""memory"",""verified"":true}",2026-05-31 03:36:56,2026-06-23 12:00:00
40,best_practice,Network best practice #40,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.613,"[""staging""]","[""k8s"",""network"",""prod""]","{""domain"":""network"",""verified"":true}",2026-06-22 08:09:05,2026-06-23 12:00:00
41,incident_pattern,Availability incident pattern #41,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.8862,"[""dr"",""prod""]","[""prod"",""availability"",""sre""]","{""domain"":""availability"",""verified"":false}",2026-06-21 13:46:22,2026-06-23 12:00:00
42,root_cause,Availability root cause #42,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.8482,"[""dr"",""prod"",""staging""]","[""scaling"",""availability"",""k8s""]","{""domain"":""availability"",""verified"":false}",2026-03-31 02:43:20,2026-06-23 12:00:00
43,incident_pattern,Availability incident pattern #43,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.742,"[""staging"",""prod""]","[""k8s"",""sre"",""leak""]","{""domain"":""availability"",""verified"":true}",2026-05-08 13:15:39,2026-06-23 12:00:00
44,postmortem,Network postmortem #44,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6104,"[""staging"",""prod""]","[""leak"",""network"",""sre""]","{""domain"":""network"",""verified"":true}",2026-04-15 19:13:26,2026-06-23 12:00:00
45,remediation,Cpu remediation #45,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.8484,"[""staging""]","[""prod"",""leak"",""scaling""]","{""domain"":""cpu"",""verified"":true}",2026-04-18 04:29:35,2026-06-23 12:00:00
46,root_cause,Availability root cause #46,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.8745,"[""dr"",""staging"",""prod""]","[""availability"",""leak"",""scaling""]","{""domain"":""availability"",""verified"":true}",2026-05-13 03:32:57,2026-06-23 12:00:00
47,postmortem,Network postmortem #47,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.7475,"[""prod""]","[""prod"",""leak"",""network""]","{""domain"":""network"",""verified"":false}",2026-06-07 23:08:08,2026-06-23 12:00:00
48,best_practice,Cpu best practice #48,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.6711,"[""prod"",""staging"",""dr""]","[""sre"",""leak"",""cpu""]","{""domain"":""cpu"",""verified"":false}",2026-06-10 18:36:11,2026-06-23 12:00:00
49,incident_pattern,Storage incident pattern #49,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.7689,"[""staging"",""prod"",""dr""]","[""leak"",""sre"",""storage""]","{""domain"":""storage"",""verified"":true}",2026-06-12 01:23:14,2026-06-23 12:00:00
50,postmortem,Availability postmortem #50,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.7789,"[""dr""]","[""leak"",""sre"",""prod""]","{""domain"":""availability"",""verified"":true}",2026-05-06 14:53:07,2026-06-23 12:00:00
51,incident_pattern,Cpu incident pattern #51,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.7999,"[""staging""]","[""prod"",""leak"",""sre""]","{""domain"":""cpu"",""verified"":true}",2026-04-07 00:25:48,2026-06-23 12:00:00
52,remediation,Cpu remediation #52,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6666,"[""prod"",""dr""]","[""prod"",""scaling"",""leak""]","{""domain"":""cpu"",""verified"":true}",2026-04-23 03:04:00,2026-06-23 12:00:00
53,root_cause,Storage root cause #53,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.7808,"[""staging""]","[""leak"",""scaling"",""prod""]","{""domain"":""storage"",""verified"":true}",2026-04-05 07:03:26,2026-06-23 12:00:00
54,best_practice,Cpu best practice #54,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6242,"[""dr"",""prod"",""staging""]","[""sre"",""k8s"",""cpu""]","{""domain"":""cpu"",""verified"":true}",2026-05-23 23:44:26,2026-06-23 12:00:00
55,incident_pattern,Availability incident pattern #55,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.8054,"[""prod"",""staging"",""dr""]","[""sre"",""k8s"",""scaling""]","{""domain"":""availability"",""verified"":true}",2026-05-26 03:34:15,2026-06-23 12:00:00
56,remediation,Memory remediation #56,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.7079,"[""staging"",""dr"",""prod""]","[""scaling"",""prod"",""leak""]","{""domain"":""memory"",""verified"":true}",2026-05-28 08:21:03,2026-06-23 12:00:00
57,best_practice,Memory best practice #57,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.6537,"[""prod""]","[""sre"",""scaling"",""memory""]","{""domain"":""memory"",""verified"":true}",2026-06-21 01:27:13,2026-06-23 12:00:00
58,remediation,Network remediation #58,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.938,"[""prod""]","[""k8s"",""network"",""scaling""]","{""domain"":""network"",""verified"":true}",2026-05-02 15:52:14,2026-06-23 12:00:00
59,root_cause,Availability root cause #59,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.9584,"[""staging"",""dr""]","[""sre"",""scaling"",""k8s""]","{""domain"":""availability"",""verified"":true}",2026-06-22 10:11:47,2026-06-23 12:00:00
60,incident_pattern,Node incident pattern #60,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.9705,"[""dr"",""prod""]","[""k8s"",""leak"",""sre""]","{""domain"":""node"",""verified"":true}",2026-05-30 17:49:37,2026-06-23 12:00:00
61,incident_pattern,Node incident pattern #61,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.8835,"[""staging""]","[""leak"",""prod"",""scaling""]","{""domain"":""node"",""verified"":false}",2026-05-01 20:37:40,2026-06-23 12:00:00
62,postmortem,Node postmortem #62,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.9307,"[""staging"",""dr""]","[""scaling"",""sre"",""prod""]","{""domain"":""node"",""verified"":true}",2026-04-13 17:36:09,2026-06-23 12:00:00
63,postmortem,Cpu postmortem #63,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.9118,"[""prod"",""staging"",""dr""]","[""cpu"",""prod"",""sre""]","{""domain"":""cpu"",""verified"":true}",2026-06-14 23:17:17,2026-06-23 12:00:00
64,best_practice,Network best practice #64,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.85,"[""prod"",""staging"",""dr""]","[""k8s"",""network"",""prod""]","{""domain"":""network"",""verified"":true}",2026-04-07 00:25:50,2026-06-23 12:00:00
65,remediation,Memory remediation #65,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.8505,"[""staging""]","[""memory"",""k8s"",""leak""]","{""domain"":""memory"",""verified"":false}",2026-05-26 15:51:52,2026-06-23 12:00:00
66,root_cause,Storage root cause #66,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.8701,"[""dr""]","[""prod"",""scaling"",""leak""]","{""domain"":""storage"",""verified"":true}",2026-05-04 01:53:21,2026-06-23 12:00:00
67,best_practice,Storage best practice #67,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6589,"[""dr""]","[""scaling"",""storage"",""k8s""]","{""domain"":""storage"",""verified"":false}",2026-03-29 15:42:15,2026-06-23 12:00:00
68,incident_pattern,Availability incident pattern #68,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6312,"[""dr"",""prod"",""staging""]","[""prod"",""scaling"",""k8s""]","{""domain"":""availability"",""verified"":true}",2026-06-06 05:05:01,2026-06-23 12:00:00
69,postmortem,Memory postmortem #69,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.7991,"[""staging""]","[""prod"",""memory"",""scaling""]","{""domain"":""memory"",""verified"":false}",2026-05-18 16:11:55,2026-06-23 12:00:00
70,postmortem,Network postmortem #70,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6865,"[""dr"",""staging"",""prod""]","[""sre"",""prod"",""scaling""]","{""domain"":""network"",""verified"":true}",2026-04-27 16:02:44,2026-06-23 12:00:00
71,incident_pattern,Availability incident pattern #71,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6403,"[""staging"",""prod""]","[""prod"",""scaling"",""sre""]","{""domain"":""availability"",""verified"":true}",2026-05-21 13:53:48,2026-06-23 12:00:00
72,remediation,Cpu remediation #72,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.7242,"[""dr"",""prod""]","[""sre"",""scaling"",""cpu""]","{""domain"":""cpu"",""verified"":false}",2026-04-23 03:55:57,2026-06-23 12:00:00
73,remediation,Network remediation #73,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.7735,"[""dr""]","[""leak"",""scaling"",""network""]","{""domain"":""network"",""verified"":true}",2026-05-30 12:47:20,2026-06-23 12:00:00
74,incident_pattern,Node incident pattern #74,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.6794,"[""staging"",""dr""]","[""k8s"",""scaling"",""leak""]","{""domain"":""node"",""verified"":true}",2026-04-10 06:45:48,2026-06-23 12:00:00
75,remediation,Memory remediation #75,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.95,"[""dr""]","[""prod"",""scaling"",""k8s""]","{""domain"":""memory"",""verified"":true}",2026-04-29 09:52:53,2026-06-23 12:00:00
76,incident_pattern,Memory incident pattern #76,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.8698,"[""prod""]","[""prod"",""k8s"",""scaling""]","{""domain"":""memory"",""verified"":true}",2026-05-19 20:22:22,2026-06-23 12:00:00
77,postmortem,Cpu postmortem #77,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.9025,"[""dr""]","[""cpu"",""k8s"",""scaling""]","{""domain"":""cpu"",""verified"":true}",2026-04-06 06:40:38,2026-06-23 12:00:00
78,remediation,Memory remediation #78,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.6993,"[""staging"",""prod"",""dr""]","[""prod"",""k8s"",""memory""]","{""domain"":""memory"",""verified"":true}",2026-05-02 07:55:26,2026-06-23 12:00:00
79,remediation,Memory remediation #79,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.9069,"[""prod""]","[""scaling"",""prod"",""k8s""]","{""domain"":""memory"",""verified"":true}",2026-06-07 01:44:42,2026-06-23 12:00:00
80,postmortem,Node postmortem #80,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.7107,"[""staging"",""prod"",""dr""]","[""prod"",""scaling"",""k8s""]","{""domain"":""node"",""verified"":false}",2026-04-03 15:16:36,2026-06-23 12:00:00
81,root_cause,Availability root cause #81,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.6996,"[""staging""]","[""availability"",""sre"",""prod""]","{""domain"":""availability"",""verified"":true}",2026-04-21 06:52:29,2026-06-23 12:00:00
82,root_cause,Node root cause #82,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.8082,"[""prod""]","[""sre"",""leak"",""node""]","{""domain"":""node"",""verified"":false}",2026-05-17 03:22:04,2026-06-23 12:00:00
83,remediation,Cpu remediation #83,"When cpu pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.8208,"[""dr"",""prod"",""staging""]","[""sre"",""k8s"",""prod""]","{""domain"":""cpu"",""verified"":true}",2026-06-19 06:00:26,2026-06-23 12:00:00
84,best_practice,Memory best practice #84,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.605,"[""staging""]","[""sre"",""memory"",""scaling""]","{""domain"":""memory"",""verified"":false}",2026-04-30 05:53:31,2026-06-23 12:00:00
85,postmortem,Storage postmortem #85,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.8192,"[""staging"",""dr""]","[""k8s"",""scaling"",""prod""]","{""domain"":""storage"",""verified"":true}",2026-05-11 08:18:46,2026-06-23 12:00:00
